,Sentence,Tags
433,"Since today is a Sunday, we decided to go to the beach park for a picnic. I packed some sandwiches, chips and salad. We had a good time playing with the ball and in the water. After we had lunch and were just sitting, I noticed their skin to be a bit reddish. I wondered if it was because of something they had just eaten. But then I touched his neck and it felt warm. Luckily, I always bring a thermometer along with me everywhere I go so I measured his temperature and it showed hundred and four degrees Fahrenheit. We packed up soon after and came back home. He has been resting and I just touched his forehead, seems like the fever has reduced. I will measure it again once he wakes up.",fever
416,"As the doctor recommended we changed the dosage for their primary prescription to be 300 mg. I was hoping this would help address some of the symptoms and reduce the number of seizures per day and to be honest, it seems like it's working. Typically my kid is severly lethargic but today they seemed to have more energy than I've seen in recent memory! If anything, I could say their lethargy was practically at zero.",
409,"We started the day pretty late today. All of us slept in and I felt like I had to rush getting my oldest ready for school. Once it was just the two of us at home, I decided to put on some TV for them as I prepared their favorite breakfast since I know the last few days have been a little rough. When I make pancakes they are usually super excited but I noticed they weren't paying much attention and seemed out of it. When I went over to them and asked, I quickly found out they were still not feeling energetic. They were feeling pretty fatigued and that's when I realized one might be coming so I made sure to stay near them and sure enough they had a seizure within the next five minutes. We ended up skipping breakfast and just resting instead after.","fatigue, lack of concentration"
105,"I don't have regularly formed stools anymore. When I wipe myself I can practically use
a whole roll of toilet paper and still feel and see that I need to wipe more. Sometimes I wipe so much that I end up with a bleeding hemorrhoid",bleeding
237,rory had a seizure at 2am so we didn't really sleep last night,lack of sleep
108,My stool is very hard. I had to take a laxative to feel better,
82,"Her diarrhea is accompanied by a lot of vomiting and I don’t know, its just making her weak and its sad seeing it","diarrhea, vomiting, fatigue"
305,Charlies been experiencing palpitations this afternoon. We gave him some anti anxiety medication to try and relax him,"racing heart, anxiety"
357,after erics seizure last night he had hiccups for around three hours. I don’t think he or any of us really slept,"hiccups, lack of sleep"
453,"It's a symptom free Saturday! I always joke that Saturdays tend to be our good days but this trend is honestly freaking me out a little. Another week, another headache free day! How great is that? I wonder if it has anything to do with the new dosages that were prescribed? But that doesn't make sense or else this probably wouldn't only happen once a week. Maybe there's something we tend to do on the start of weekends that we haven't considered. Luckily after a few weeks, I'm sure this app might pick up on something. I'm guessing it could be related to me being off of work and probably less stressed.",
81,"The diarrhea is triggered everytime I eat so now I just hardly ate anything and now I'm hungry, tired and cranky","diarrhea, fatigue, appetite change, body pain"
34,"I have been coughing, having body aches, my temperature is hot externally but I feel chills internally, have running stomach, dehydration, and loss of appetite for more than 5 days. I went to the doctors and they gave me paracetamol and antibiotics, but no improvement. I went to a different doctor and I still got the same medicine for this fever.","fever, cough, body pain, appetite change"
0,"Her medications seem to be causing lots of side effects, I noticed her being dizzy in the afternoon and she isn't sleeping much","lack of sleep, dizziness"
434,"They have had fever since this morning. I hope it does not lead to a seizure. Usually when the fever turns high, they get a bout of seizure in the night. I am really hoping the fever does not increase otherwise I know I will not be able to sleep the entire night in fear that the seizure might occur. There is a super important meeting that I cannot afford to miss at eight in the morning tomorrow.",fever
442,It's a miracle! Absolutely no headaches today! I think we were all surprised by this and it was nice to see them feeling good all day.,
13,"I was walking to the mailbox and I was suddenly all over the place and I felt and looked
like a drunk. A while later I started to vomit for almost 2 hours, but it was only a dry vomiting. I laid in my car for several hours because I did not feel I could drive. The dizziness lasted several days.","vomiting, dizziness"
87,I am constantly exhausted and I don't know what to do Why do I feel this dead Its really hard to me to get the energy to do anything,fatigue
245,I've been waking up at 3am every night for the past three days,lack of sleep
265,frank started to cough and feel a throat itch since the afternoon so I gave him vitamins and other home remedies,"sore throat, cough"
54,"like my dad, i feel dizziness, sensitivity to light and nausea when I get migraines. Today when I had one I  stayed in a dark room, took medicines and tried to force myself to throw up to help the pain","dizziness, headache"
388,"after we came back from a walk I noticed that ellas pupils were dilated. It was a cold and dark day outside,
but im not sure what could have caused the dilation. She seemed a bit more tired than usual as well","dilated pupils, fatigue"
96,I couldnt get sophie to leave the house today at all because she just seemed so tired and sleepy. Im not sure whats wrong and im a bit worried,"fatigue, anxiety"
22,"when I feel nervous, I literally feel like I am going to throw up straight away. Today I had to go for a MRI and I was so nervous I wanted to puke",
378,charlie has had bouts of a minute or two of hiccups just randomly,hiccups
420,"Today was a symptom free day. It was wonderfully sunny in the evening, so I took them to the park near our home. They played for around an hour, came back, had dinner, and slept just fifteen minutes ago. I absolutely love these kinds of days and wish there were more of them. They had some mild fever most of the days this week. But today there was no fever at all.",
274,"laylas sore throat finally went, now shes just fatigued and gets the occasional headache","fatigue, headache"
141,I just walked for five minutes and my legs got so cramped up I have no idea why,body pain
238,work has been so stressful recently. I havent been able to sleep at night because im stressed and that’s just making me even more exhausted,"lack of sleep, fatigue"
289,lily ate a ton of ice cream yesterday which clearly wasn’t good for her because she woke up with a sore throat,sore throat
431,"Today was a great day. We went to mall today, bought a fun pair of Spiderman shoes. They were so happy and wore them immediately to play in the park. It was really nice to see them having a good time. I also bought them an ice cream and I hope they don’t catch the flu or fever. But I am just glad to see my child happy like this. There is nothing better in the world for me than to see them smile and laugh. I wish we have more of these symptom free days.",
93,I didn't sleep too well last night so I felt really tired this morning. Coffee helped a bit though,"lack of sleep, fatigue"
2,"I feel like my medications may be causing nausea. I got nauseas after I took my dose this morning and evening
Sometimes, popping an over-the-counter pain reliever (like ibuprofen, acetaminophen, or an NSAID) on an empty stomach can actually cause you to feel nauseous. ",
268,laura seemed really tired this morning- she coughed a lot during the night and im not sure if she slept much,"cough, lack of sleep"
162,last night eric had leg cramps in his sleep which was unusual. He woke up seeming irrated and restless but then fell back asleep,body pain
435,We are lucky no symptoms were observed today. I think the new medicines are really helping.,
419,"It's the last day before we switch over to a new combination of medication. I'm really hoping this is the last day where my kid feels so sluggish for up to an hour before a seizure happens. Of course ideally the new meds would reduce the number of seizures to zero and not have any side effects but we're trying to be realistic. Today they were tired but not to an extreme. Surprisingly, they didn't have any seizures today. Maybe we'll try sticking with this current medication combo for a few more days to see if things continue to improve.",fatigue
50,"Last night during the night I had an anxiety time come over me and a feeling of impending doom. Hopefully
I will be fine tonight. Have to ask my doc if I can take a anti-anxiety med then or not",anxiety
404,We've all been pretty low energy today. My kid had fairly severe symptoms today of course including fatigue and headaches. I thought it would be easier to take care of them but it might have honestly been easier if were able to nap.,"fatigue, headache"
21,I gave ellie ginger to try and calm her stomach because she was vomiting so much last night. I think it helped. She usually responds well to ginger,vomiting
249,I woke up with a headache but I got eight hours of sleep straight so I feel like lack of sleep couldn’t have been the issue,headache
234,"she seemed really drowsy today, I think its because she didn’t get much sleep last night","lack of sleep, fatigue"
17,"Sometimes, I become nauseated for no reason. I’ll be sitting down, or making food and I will feel like I need to vomit.",vomiting
44,I keep on sneezing and sniffling. It could be because of allergies but I think I just have a cold,congestion
110,"My stress woke me in the middle of the night, it’s hard to calm down and when in a stressful
moment I escalate from 0-100.",anxiety
373,I've had hiccups for about 24 hours. This interrupted my sleep and became an annoyance. The hiccups remained through today,"lack of sleep, hiccups"
232,lily kept on waking up last night so none of us really slept,lack of sleep
67,"I feel like my mental health is deteriorating. I would read the first line
of a sentence in a paragraph for example and by the end of the sentence, I’d have forgotten what the first part of the sentence had said",
364,My son is in the hospital and he has been suffering with hiccups for more than 3 days. He's HIV positive,hiccups
363,"I have been having very bad hiccups for 5 days straight, I don’t know what to do.",hiccups
20,I had a concussion earlier this week and since yesterday I have been vomitting a lot. I read online and this seems to be a big deal so Im calling my doctor,vomiting
99,Last night claire kept on getting up and sometimes crying through the night so we’ve both hardly slept. Im okay still but she seems to be especially moody and cranky today ,"lack of sleep, mood change"
332,lilly tummy has red patches and she looks like shes getting a rash. I cant tell how painful or itchy it is for her. Her moods been pretty ok so it doesn’t seem bad,skin rash
150,I cant describe exactly how it felt but it felt like my muscles were totally spasming. Kind of like a cramp but much more intense than usual,body pain
127,"I have pain in my cheek, eyes, neck and swelling and pain in the shoulder on that side because of sinus infection.",body pain
14,I became very ill after taking Vicodin on an empty stomach. I had severe nausea as well as hot flashes and I felt weak as if I would faint.,
312,I felt like I could feel my heart in my mouth this afternoon. I don’t know why it started or where it came from,racing heart
126, my left eye feels puffy and I get lightheaded and anxious.,"anxiety, dizziness"
197,sophies mood has been so unpredictable all day. The slightest thing can make her cry,mood change
18,"I fed my husband tilapia which was breaded and fried. He said it wasn't bad. No odor while cooking.
Three hours later, he was vomiting profusely. His stomach is cramping and he said he is vomiting yellow bile, his throat feels like something is stuck in it. He said he feels so sick.","vomiting, body pain"
440,Lots of headaches today. My poor kid's head was hurting on and off all day. Luckily the headaches weren't too severe. They've had much worse before.,headache
240,I’m not going into a deep sleep and my sleep is highly disturbed. I’m so frustrated and just feel hopeless.,lack of sleep
116,"I got a pressure around my eyes, dizziness, lightheadedness and pressure in my ears","dizziness, body pain"
37,I wasn't feeling too sick or anything but when I checked my termperature I saw I had a fever of 100,fever
346,this morning lilly cut her finger and it wasn’t even that deep but there was so much blood I was surprised,bleeding
269,laura started to feel weird tightness in her chest after lunch. Im a bit concerned and if it gets any worse we're going to the doctor,body pain
264,I think katie developed a sore throat last night because her voice is different and shes eating more slowly,"sore throat, appetite change"
52,"today he was just having fun and playing with his friends when he got a headache. his headaches come at all different times of the day, sometimes when he expects them the least",headache
350,charlies nose bleed is better but hes been coughing quite a bit this evening,"bleeding, cough"
205,"after lunch today I got this sensation in my chest which felt something like a heartburn. Its hard to describe but it felt like there were needles and a stabbing pain in my
chest ",body pain
408,"Today was pretty calm. We got up a little early but went out to the park to spend some time outdoors since it's important for a kid's growth you know? I want to make sure they get some fresh air and take some sunshine in, I know I need it. We spent some time but came home a few hours and had a pretty nice lunch. It was around noon when they started feeling really tired. I couldn't tell if it was because we walked around so much and maybe thought we overexerted but they began to completely lose energy and just like I suspected, they had a seizure right then and there.",fatigue
275,laylas throat became much worse over the course of the day. I may need to get her stronger medications to help the pain,sore throat
370,the hiccups stopped after I took a medicine but now my throat is just sore,"hiccups, sore throat"
68,"today I experience this weird and scary migraine and eye problem. I was playing with my brother, and all of a sudden I realised I could not see from my right eye.",headache
189,katie got stressed and threw a tantrum for half an hour when i tried to give her her medicine today ,anxiety
272,charlie has a cold and a sore throat but its pretty mild right now,sore throat
215,i woke up in the middle of the night because of a nightmare and felt these weird contractions in my chest. They stopped in five minutes though,body pain
291,my fever has subsided so now im just left with a sore throat and cough,"cough, sore throat"
255,we didn’t go for our daily walk last night so charles had a ton of energy and took forever to fall asleep,
405,"This morning was fairly relaxed. They were pretty tired so we didn't do too much. Other than that, no other symptoms were really present.",fatigue
371,"nothing I do is making these hiccups go away, I am so annoyed right now",hiccups
174,she seems stressed everytime I try and teach her how to read. I think its too much cognitive pressure for her and I need to speak to her doctor about this,"fatigue, anxiety"
85,Today in the morning I experienced some bad runny poop in the bathroom and then I was hoping it would get better after lunch but it just got worse and I was in the bathroom so often,diarrhea
133,"I have pain in the back lower and upper tooth because of sinus infection. My ear has a little pain, and cracks and pops when I chew.",
95,I don’t know why I felt so tired today I slept well last night and ive slept well all week but I was feeling so out of it today for some reason,
233,lily woke up three times last night,lack of sleep
352,"lisas teacher called me to say she was having a nose bleed earlier today. I picked her up from school and she seemed really on edge and flustered. I think the other kids started to make fun of her and it
made her sad","bleeding, mood change"
302,Tom's throat is pretty bad even though he tells me its fine. I can hear it in his voice,sore throat
78,"I experienced terrible diarrhea today and it was miserable. I don't know what I ate to cause it, I'm so annoyed right now",diarrhea
201,lily curled up into a ball on the sofa this afternoon and said that her chest felt tight when I asked what was wrong,body pain
316,"Lately my palpitations are very severe. Between 9 and 10 PM they start and they never stop until I fall asleep.
The weird part is that I run 5 miles almost every morning and with no problem at all",racing heart
181,katie was really stressed in the afternoon so we took her for a walk and she seems better,anxiety
340,there was blood in amys poo earlier today,bleeding
1,I accidentally forgot to eat lunch today and I think my blood sugar became really low. I ended up feeling kind of nauseas and dizzy for a while until I could get more food in me,dizziness
155,I am having the worst cramps ever in my lower back and I don’t know what could cause it,body pain
179,kiara has an exam tomorrow and im praying the stress doesn’t trigger a seizure. Shes been stressed all morning and I cant wait for this to be over,anxiety
186,the medicine I gave katie this morning actually seemed to make her more stressed and anxious which was weird,anxiety
57,I think alcohol triggers erics migraines. He had hardly one glass of wine two nights ago and today he had such a bad migraine,headache
101,"He passes stools every 5 days and he suffers a lot, crying, and shouting.
I am giving him food full of fibers plus vegetables and fruits plus laxative medication, and he is still constipated",
310,Eric has a seizure last night. We gave him some medicine as soon as it started. The seizure was controlled but his heart rate remained high for the rest of the night,racing heart
74,"During my migained attack today I felt so lost and so incapable of doing anything - no way I can drive, read, eat, work, or  function like a normal human being. I start to feel isolated and in a dark place when this happens",headache
71,The intensity of my migraine has fluctuated over the day. In the morning it was terrible but now its better,headache
212,lilys chest issues are getting worse. This afternoon she experienced tightness and pain for one hour. I feel so bad for her,body pain
343,lily cut her leg while we were at the beach today. There was some blood but we managed to clean it pretty fast. I just hope it isnt infected,bleeding
392,tom had a doctors appointment today in which they dilated his eye pupils. His vision became blurry for a bit and he got a headache after,"dilated pupils, headache"
347,tom got three stitches on his lip today because some guy on the other team tackled him in football and was way too aggressive. There was blood on his face and we needed to stop the blood asap,bleeding
311,"I recently started having palpitations, and the skipped heart beat type would happen about 2 or 3 times a week",racing heart
177,kiara has been stressed and anxious all morning. Im not even sure what the reason is- nothings happened recently,anxiety
277,lily has a terrible cough and sore throat,"sore throat, cough"
70,"I had another migraine which started when I was cleaning my room. To me, the worst aspect of migraine is their unpredictability – one moment I can be cycling through a field, the next, I can’t see.",headache
199,lily had chest tightness earlier this morning which came in short 2 minute spells for about one hour,body pain
294,"lauras fever just hit 102, im getting worried",fever
263,toms throat seems so sore he's been whining about it since lunch,sore throat
102,"nowadays I get bowel elimination twice per week. I feel pain on my abdomen
as burning pain",body pain
119,"I have severe pain in my head, neck and face, and green and grey mucus that I'm coughing up from my lungs from sinus infection","headache, body pain, cough, congestion"
457,"Tonight has been surprisingly chill. Lots of relaxation and low stress in the house overall. It probably helps that I was able to spend the morning decompressing and catching up on my shows while the kids were being taken care of by their aunt and uncle. Oh right but I'm supposed to be talking about symptoms. I don't remember there being anything once the kids were back in the house. Oh but wait there was this one super light headache they complained about once they got home but other than that, no other symptoms.",headache
438,"This video diary is a great idea and of so much help keeping track of and progress of symptoms in ways I was never able to do on my own with my manual handwritten diary. It is much easier and efficient to record symptoms this way. I love that I am able to check the frequency of symptoms for example how many times my child has had fever this month and its severity. As for today, the great news is there were no symptoms.",
358,"I never believed that hiccups can last this long. My husband had it on his way from work and it kept the both of us awake and
worried till morning. It was an awful experience. I am happy he is fine now after I called my sister (nurse) who advised on gargling, it worked like magic","hiccups, lack of sleep"
276,my throat really hurts right now it feels like theres a golf ball in there,sore throat
226,"I was very fatigued, I lacked energy and was just blah",fatigue
331,im so glad that erics rash has finally gone. He was getting so irritable and cranky during it but now hes better. Today he's just been a bit sad for some reason,mood change
30,"In my case, I have been with a fever for about two days. Also, I have experienced headaches, coughing and muscular pain in my legs. I started taking Advil for both the fever and headaches 24 hours after the fever started and it has worked very well.","body pain, fever, headache, cough"
103,She couldn’t poop at all this morning and her stomach seems to be in pain I gave her tea and vegetables but it didn’t help ,body pain
5,"I feel anxious out of the blue. I believe the stress lingers in the nervous system. I went
to sit down and watch a movie with mum at home the other night feeling fine, and instantly got some symptoms and had a panic attack",anxiety
387,the new anti seizure medicine im giving tommy is making him nauseas and making his pupils dilate more than usual,dilated pupils
97,"We went camping as a family last weekend and, even though I was nervous, everything seemed to go fine. Claire seemed so tired today though and I wonder if its because of the camping trip ",fatigue
439,"The fever has been running for the past four days now. Yesterday, the temperature was high but today it has reduced. I will check again in the evening.",fever
261,rons throat has been inflamed since last night. I gave him some strepsils and hot water with salt but nothings helped so far,sore throat
407,Hello diary. Just like clockwork they were feeling very tired in the few minutes preceeding their seizures today.,fatigue
308,Kiara seemed so nervous before going to school today she said her heart was pounding,"racing heart, anxiety"
422,"Most of the day was good. They went to play with our neighbors’ kids in the evening and were in a very good mood when they returned. I had made their favorite pasta dish which they loved. Before going to bed I touched their forehead and it seemed a little warm so I was worried they were going to get a fever, but when I measured their temperature it seemed fine. So, all in all good day so far.",
77,"My wife had diarrhea last week after a bad meal in China.
After, she had a 5 day stint in bed with simultaneous vomiting and loose bowels which involved a hefty does of antibiotics","diarrhea, vomiting"
260,it took me 5 hours to fall asleep last night so I basically got no sleep,lack of sleep
220,charlie was holding his chest and crying on the couch today as if he had some level of tightness and pain there,body pain
424,They were not feeling very well today. I measured the temperature around eleven am and there was some mild fever. Later in the day though I measured it again and the fever had risen. I am a bit worried; I will take them to the doctor if it does not subside by afternoon tomorrow.,fever
157,I just sat in my chair and my legs cramped for 20 seconds but then it went thank god,
137,"I had a very bad head cold which got much worse, and now my right eyelid is red",headache
62,"I felt pain in my head where I felt my head and my body were not
connected so I lost the ability to move physically and something as simple as standing felt impossible.",headache
230,eric refused to eat any of his lunch today,appetite change
273,laylas cold has lingered on for five days now. The cough has gone but her throat is pretty sore,"cough, sore throat"
120,"I have facial pain and pressure from sinus infection, radiating to my forehead and the base of my skull at the back. I also have pain in the right hand side of my
neck and shoulder, and permanently blocked nose that won't clear.","body pain, congestion"
425,"There were no symptoms observed today. Overall, a calm and good day which is now six days in a row. Yay. It is out of ordinary, but I am not complaining. I am super happy for my kid.",
28,This morning after my coffee I felt so nauseas- its because I get acid reflux to coffee,vomiting
450,"Their symptoms overall weren't too bad today. We did quite a lot and they said they were feeling fine throughout. Usually when we're out for so long they're bound to start not feeling great one way or the other. I remember last time we went out, the line at the grocery store was so long we had to wait for what felt like half an hour just to check out a pack of toilet paper and some snacks! That was a painful experience for me too haha. But I digress. Today was totally fine and I think it's safe to say they were symptom free today!",
125,"My left temple hurts with sharp needle-like pains and pressure from sinus infection. My left ear hurts, left side of mouth and gums feels sore as well as the left side of throat","body pain, headache"
382,lily seemed more out of it than usual today. Her energy levels were lower and her eye pupils seemed dilated,dilated pupils
365,"After a late dinner with a bottle of beer, the next day my hiccups started. After medication it stops for 7 or 8 hours and again
kicks off for 1 or 2 hours. Now 9 days are gone with little improvement",hiccups
128,"I have popping in my ears, headaches, and pressure in my face","headache, body pain"
26,"It is almost a month and half now. I feel nauseated anytime of the day. Nothing related to food.
I think this is something to do with psychological aspect of my mind, because if for example I look at the food and start wondering how they were prepared, who prepared them and how the handled them, I will definitely vomit after eating them",vomiting
10,"Five min after I got home I started vomiting, I tried everything to cool down, but did not stop till 2:30am. I was okay by the time I had to go to work again later that morning",vomiting
393,tom seemed lightheaded and dizzy as we were getting ready for bed last night. His eyes looked different too and his left pupil was dilated,"dilated pupils, dizziness"
430,They had a mild fever today during the day. It had not risen when I checked in the evening. So that is good.,fever